owns chanel,owns gucci,ownd burberry,owns hermes,owns D&G,owns fendi,owns valentino,owns prada,owns ysl,owns louis vuitton,owns dior,item 1,item 2
,,,,,,,,,,,Prada coat,Chanel
,,,,,,,,,,,Balenciaga jacket,YSL Kate bag
,,,,,,,,,,,Burberry,Louis Vuitton neoneo
,,,,,,,,,,,,Louis Vuitton
,,,,,,,,,,,Louis Vuitton and Tom Ford,Louis Vuitton and Gucci
,,,,,,,,,,,Dolce+Gabbana Dress,Hermès
,,,,,,,,,,,Fendi Sweater,fendi peekaboo bag
,,,,,,,,,,,,
,,,,,,,,,,,Balmain dress,Chanel boy clutch
,,,,,,,,,,,Prada collared nylon dress,Balenciaga sock sneaker
,,,,,,,,,,,Prada Skirt and Prada Sweater(im wearing it),Bottega Veneta Bag (ice cream color)
,,,,,,,,,,,Chanel sweater dress,"Chanel sandals
Chanel bag"
,,,,,,,,,,,Chanel leather jacket,Fendi raffia slides
,,,,,,,,,,,Gucci Sweater,Chanel Classic Handbag
,,,,,,,,,,,Gucci track suit,Chanel Icon Beige Clair
,,,,,,,,,,,"Hermes sports jacket
Hermes sweater",Hermes Kelly
,,,,,,,,,,,,
,,,,,,,,,,,"monique lhuillier Bridal dress, Givenchy skirt, Saint Laurent hoodie, Gucci hoodie","Saint Laurent black sunset, Saint Laurent pink Sunset, Saint Laurent chain wallet, Gucci fur mules, Givenchy sneakers, Gucci super mini"
,,,,,,,,,,,Balenciaga Hoodie,"Chanel bucket bag
Louis Vuitton Multi Pouchette
Dior sneakers"
,,,,,,,,,,,"Chanel jacket, Dior jacket, Chanel dress",Hermès and Valentino
,,,,,,,,,,,"Dolce and Gabbana dress
Valentino dress",
,,,,,,,,,,,"Prada nylon trench
Gucci silk blouse","Chanel medium coco handle
Limited edition Valentino rock stud pumps 100mm
Dior sling back pumps
Dior spring 2021 small book tote
Jimmy choo patent leather mules
Valentino rock stud sandals
Jimmy choo combat heeled bootie
Leather lace up Valentino sandals
Louboutin suede booties
Louboutin suede studded sandals
Louboutin patent hot chick pumps"
,,,,,,,,,,,"Chanel clothing
More Chanel
Christian Dior
Chanel
Chanel
Chanel
Christian Dior",Celine
,,,,,,,,,,,Gucci Sweatshirt,"YSL boots
Prada Sneaks"
,,,,,,,,,,,Burberry adult raincoat and child sweatshirt (im petite so the kids clothes fits),"Two chanel small flaps - the black one hasnt gone out yet so still has her felt protector
Fendi combat boots
White and black rockstuds for when you cant decide
Hermes oasis sandals ( adding a lot of items to try and cover my bases)"
,,,,,,,,,,,LV shirt,Two handbags recently purchased
,,,,,,,,,,,I love this Miu Miu dress. The fabric is silking and light weight for spring. The color is super feminine and fun for vacation.,Love the Gucci mules
,,,,,,,,,,,Burberry Shirt,LV Neverfull Bag
,,,,,,,,,,,I purchased this Gucci designer shirt,This is a Bottega Venetta Bag
,,,,,,,,,,,Burberry shirt,LV Boots
,,,,,,,,,,,Burberry shirt,Chanel handbag
,,,,,,,,,,,Brunelleschi jacket,"Gucci loafers
Loewe bag
Chanel blush bag"
,,,,,,,,,,,Gucci GG cotton lamé top,"Bottega Veneta Padded Cassette Bag in Caramel
Prada Re-Edition 2005 Re-Nylon bag"
,,,,,,,,,,,"Dolce Gabbana pants and bomber jacket
Dolce Gabbana pants","YSL clutch, Valentino loafers, Chanel bag"
,,,,,,,,,,,"Balmain shirt
Balmain tag",Hermes Birkin
,,,,,,,,,,,Chloe tank. Good old staple for summer!,"My new Celine bag. I use it everyday.
Cute new Bottega Veneta bag for special lunches, dinners, events."
,,,,,,,,,,,"Prada Crossbody
Saint Laurent hoodie",Bottega Lido Sandals
,,,,,,,,,,,Burberry coat,LV tote
,,,,,,,,,,,,
,,,,,,,,,,,Valentino sweatershirt,"dior sneaker
CHANEL handbag
dior sneaker"
,,,,,,,,,,,Burberry sweater,Chanel shoe
,,,,,,,,,,,Burberry Jacket,"Christian Louboutin boots
LV bag"
,,,,,,,,,,,I chose Fendi because I was going for a certain look for a brunch that I’m going to. It’s soft and shows all of the right curves on my body.,"My Gucci tote ❤️ I had to grab this bag it’s small and very cute , fits my waist perfectly."
,,,,,,,,,,,Woman’s gucci tee,Gucci slides
,,,,,,,,,,,Burberry coats,"Valentino
"
,,,,,,,,,,,Versace,LV
,,,,,,,,,,,Burberry jacket,"Ysl handbag
Saint Laurent pumps"
,,,,,,,,,,,,Ferragamo
,,,,,,,,,,,Chanel dress,"Valentino shoe
Chanel boot"
,,,,,,,,,,,Burberry jacket,Giannvito rossi
,,,,,,,,,,,Chanel jacket,Hermes 24/24
,,,,,,,,,,,,
,,,,,,,,,,,"Balmain tshirt
Chanel silk scarf for chi","Chanel 19 flap bag
Dior ombré book tote bag
Louboutin anjalina flat
Chanel rope sandals
Prada monolith boots
Chanel denim flats
Chanel CC ankle boots"
,,,,,,,,,,,The Row sweater,Hermes Birkin
,,,,,,,,,,,Burberry quilted jacket,Gucci slides
,,,,,,,,,,,Gucci coat,Valentino shoes
,,,,,,,,,,,Brunello,"Hermes 2021

Evelyne TPM"
,,,,,,,,,,,"Alexander McQueen, Stella McCartney
(both dresses)","Saint Laurent heels, Jimmy Choo flats, Celine handbag, Chloe handbag"
,,,,,,,,,,,"Burberry Leggings
Burberry leggings label",Gucci Mules
,,,,,,,,,,,Louis Vuitton Polo I wore as a short dress.,"Louis Vuitton on the go reverse monogram
Christian Louboutin Neon Hot Chick"
,,,,,,,,,,,Proenza Schouler dress,
,,,,,,,,,,,Gucci pea coat —,Hermès Birkin 35
,,,,,,,,,,,Balmain,Manolo
,,,,,,,,,,,Gucci top,Louis Vuitton bum bag
,,,,,,,,,,,Hermes 2021 RTW Cardigan,C24 Epsom black with Lizard
,,,,,,,,,,,Gucci dress,"Gucci Crossbody
Saint Laurent Pumps"
,,,,,,,,,,,"Moncler belted puffer
Prada nylon shorts
Versace bathing suit","Louis Vuitton Pumps
Chanel loafers
Louis Vuitton toilette 26
Prada bucket clutch"
,,,,,,,,,,,,
,,,,,,,,,,,Isabel Marant top,Chanel handbag
,,,,,,,,,,,Christian Dior jacket,"Chanel boy bag
Chanel clogs
Hermes birkin"
,,,,,,,,,,,"Chanel, Prada","Chanel purse, Prada shoes"
,,,,,,,,,,,Gucci t shirt,"Burberry bag and wallet
LV"
,,,,,,,,,,,Balmain blazer,Fendi tote
,,,,,,,,,,,,
,,,,,,,,,,,"Alexander McQueen Jacket
McQueen Jacket
Chanel
Versace","Hermes Barenia Fabourg Birkin
Hermes Birkin Barenia
Dior
Bottega Veneta
Bottega Veneta"
,,,,,,,,,,,I bought a Lanvin Ruffle Cape Dress. It is currently at my seamstress being altered. I will upload a photo of me trying on the dress in the store!,"Chanel Coco Top handle. Black caviar with black hardware. Limited edition!!
Hermes Oran Sandles"
,,,,,,,,,,,Burberry Polo Shirt,Louis Vuitton Surene
,,,,,,,,,,,Givenchy Sweatshirt,"Fendi Handbag
Balenciaga
Chanel Shoes
Jimmy Choo"
,,,,,,,,,,,Balenciaga t shirt,Prada Nylon Bag and Gucci Mules
,,,,,,,,,,,Versace Bathrobe,"Chanel shoes and Dior bag, photo in my closet"
,,,,,,,,,,,"Burberry trench coat
Giorgio Armani black dress","Birkin 25 togo rose pourpre
Hernes santorini sandals black and Kelly to go rose confetti"
,,,,,,,,,,,"Dior skirt
Chanel cardigan",Chanel mini flap and hermes kellu
,,,,,,,,,,,"Yves Saint Laurent
Sweater tag
YSL pants tag
Dolce and Gabbana dress
Yves Saint Laurent pants and top
Chanel dress","Ysl Kate python
Chanel clutch
Chanel 19 in black small
Chanel WOC in tweed"
,,,,,,,,,,,,
,,,,,,,,,,,Prada Shoes and Burberry Jacket,Prada shoes
,,,,,,,,,,,Gucci Sweatshirt and Anorak (from the recently released Northface collaboration); Hermes Caftan from Spring/Summer 2021,"Hermes 30cm Sellier Birkin, Hermes H Vibration Herbag, Manolo Hangisi Leather Flats, Manolo Hangisi Satin Heels"
,,,,,,,,,,,,
,,,,,,,,,,,Burberry tench,Louis Vuitton On The Go GM
,,,,,,,,,,,,
,,,,,,,,,,,The designer is Dolce and Gabbana,The designers are Hermès and Chanel
,,,,,,,,,,,Chanel Cardigan,Mini Coco
,,,,,,,,,,,Purchased at saks,"Purchased at Hermes nyc
Purchased at Bloomingdale’s
Purchased At Chanel nyc"
,,,,,,,,,,,Chanel jacket,Gucci Mules
,,,,,,,,,,,Armani jacket,"Armani bag
miu miu shoes"
,,,,,,,,,,,Balenciaga Logo Sweater,
,,,,,,,,,,,"Both Chanel knit dress

I am out of town right now. I will take the photo of the label when I get home
","Chanel bag, Gucci slide shoes I have a couple of more shoes pictures I will send when I get home
Fendi monster sneaker for men
GUCCI NAPPA LUMIERE"
,,,,,,,,,,,Burberry Jacket,Chanel flap bag and Manolo Heels.
,,,,,,,,,,,Versace shirt,Chanel bag
,,,,,,,,,,,Versace dress pants,Fendi shopper bag
,,,,,,,,,,,Prada coat,Louis Vuitton pochette
,,,,,,,,,,,Giorgio Armani cashmere blazer,Chloe boots
,,,,,,,,,,,Chanel cardigan,Hermes bag
,,,,,,,,,,,Brunello Cuccinelli sweater,Hermés Birkin
,,,,,,,,,,,Prada Cashgora Jacket,Hermes Kelly 25
,,,,,,,,,,,Burberry Jacket! I love it so much. So chic and so warm!,
,,,,,,,,,,,"Dolce and Gabbana Swimsuit
Chanel dress
Balmain shirt","Chanel tote bag
Chanel espadrilles"
,,,,,,,,,,,Celine sweater,Gucci Dionysus
,,,,,,,,,,,,
,,,,,,,,,,,Fendi,Chanel espadrilles
,,,,,,,,,,,,"Gucci bag, Fendi shoes

Christian Dior shoes and bag, Louis Vuitton bag,

Versace dress

Gucci boots"
,,,,,,,,,,,Gucci jacket and cardigan,"Dior slides
Dior tote"
,,,,,,,,,,,,
,,,,,,,,,,,Balenciaga blouse dress,Gucci Sandal Heel
,,,,,,,,,,,Dolce & Gabbana skirt,"Dolce & Gabbana heels
Prada Shoes"
,,,,,,,,,,,Burberry quilted coat,Chanel caviar jumbo bag
,,,,,,,,,,,"Chanel long jacket from the Bombay Collection (vintage)
Chanel lesage tweed cape jacket (vintage)","Hermes Birkin 30, togo leather, palladium hardware, gris etain
Hermes Picotin 18 with palladium hardware, gold togo leather. Accessorized with a Rodeo PM charm."
,,,,,,,,,,,Gucci Tshirt,"Chanel mini reissue
LV Neverfull"
,,,,,,,,,,,Gucci Sweater,Balenciaga Sneakers
,,,,,,,,,,,Dior boutique cocktail dress,"Chanel bag
Louis Vuitton handbag"
,,,,,,,,,,,Chanel Black Tweed Blazer,Hermès Constance 24
,,,,,,,,,,,Prada short sleeve button down,"*   YSL Bianca platform heels
    
*   Chanel black caviar medium flap bag"
,,,,,,,,,,,Gucci Shirt,"Valentino Sandals
Gucci Clutch"
,,,,,,,,,,,Gucci t-shirt,Handbag
,,,,,,,,,,,Dolce & Gabbana sweatshirt,Chanel bag
,,,,,,,,,,,"The Row Dress
Chanel Jacket
Dolce & Gabbana top
Max Mara Coat
Dolce & Gabbana top (Pic did not load previously","Hermes Constance
Chanel Classic Flap
Hermes Kelly 25
Manolo Blahnik pumps
Hermes Jige
Hermes Birkin 25"
,,,,,,,,,,,Dolce & Gabanna,Manolo Blahnik
,,,,,,,,,,,LV Summer Ombré Bikini,LV Felicie
,,,,,,,,,,,,
,,,,,,,,,,,Over-sized Givenchy Jacket.,Chanel Silver Mini Bag. 2021 collection.
,,,,,,,,,,,Gucci short sleeve hoodie,Gucci crossbody
,,,,,,,,,,,I bought this beautiful Burberry coat that I love!,"I bought this LV bag that I love! perfect for traveling as it can be worn as crossbody
some of my casual Gucci shoes and slides"
,,,,,,,,,,,"Loro piana and Versace, also have dolce and gabbana if you need more pictures",
,,,,,,,,,,,Burberry jacket,Valentino sandals
,,,,,,,,,,,Chanel jacket,Chanel espadrille
,,,,,,,,,,,,
,,,,,,,,,,,Gucci gown,Chanel sandals. If you want bags I can send you also
,,,,,,,,,,,"Stella McCartney Dress with Jimmy Choo Shoes
Tom Ford Dress","Chanel Wallet on a Chain / Handbag
Aquazzura Heels
YSL Tribute
Jimmy Choo"
,,,,,,,,,,,Here my Gucci shirt,
,,,,,,,,,,,,"Hermes bag, Chanel shoes"
,,,,,,,,,,,Louis Vuitton,Dior
,,,,,,,,,,,Hermes sweatshirt,"Hermes Garden Party 30 in bougainvillea
Chanel espadrilles"
,,,,,,,,,,,Armani dress,Chanel shoes and LV bag
,,,,,,,,,,,Balmain Skirt,Gucci Dionysus Mini
,,,,,,,,,,,Versace top,Lady Dior handbag
,,,,,,,,,,,Chanel coat,Gucci shoes
,,,,,,,,,,,Versace shirt,Chanel bag
,,,,,,,,,,,Burberry trench coat,"Givenchy Antigona with the LV Astro twilly
Louis Vuitton Alma bb"
,,,,,,,,,,,"Chanel Cardigan
Chanel denim jacket","LV Stellar Sneaker
Chanel espadrilles
Chanel sneaker
Chanel heels
Chanel 19 small"
,,,,,,,,,,,Either from farfetch or italist,Purchased from neiman Marcus
,,,,,,,,,,,Burberry Shirt,Christian Louboutin
,,,,,,,,,,,"Chanel boots
Chanel shoes
Chanel shoes
Gucci jacket","Chanel purses and wallets
Chanel purse"
,,,,,,,,,,,,
,,,,,,,,,,,Saint Laurent Tee,"Saint Laurent Booties
Valentino Birkenstock
Chanel loafers
Celine fold bag"
,,,,,,,,,,,Prada dress,Bottega bag
,,,,,,,,,,,,
,,,,,,,,,,,Burberry coat,"Valentino pumps
Valentino pumps
YSL Kate bag"
,,,,,,,,,,,"The attico top

And balenciaga jacket",Bottega bag
,,,,,,,,,,,Gucci blouse,"Alaia Heels
LV tote"
,,,,,,,,,,,Chanel trousers,Hermes Birkin
,,,,,,,,,,,Burberry Camel Coat,Chanel Medium 19 Lambskin
,,,,,,,,,,,Balenciaga Dress,Ysl denim Lou Lou
,,,,,,,,,,,,
,,,,,,,,,,,Chanel Top,"Hermes Pouchette
Chanel Shoe
Chanel Shoe"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Balmain jacket,Hermes
,,,,,,,,,,,Balmain,"Saint Laurent bag
Chanel sneakers"
,,,,,,,,,,,Armani sweater,
,,,,,,,,,,,Gucci dress,Christian Dior book tote
,,,,,,,,,,,"Armani black silk pant suit, St John Topper and Max Mara jacket",LV tote that I use as a briefcase to carry my PC
,,,,,,,,,,,,
,,,,,,,,,,,Fendi swimsuit,Prada pumps
,,,,,,,,,,,,discussed YSL and also got Gucci so here is Gucci black bag
,,,,,,,,,,,"The Row tee, Brunello Cucinelli pants, Saint Laurent","Manolo, Chanel"
,,,,,,,,,,,Celine Coat,Fendi Combat
,,,,,,,,,,,"Gucci t-shirt
Gucci tshirt",Louis Vuitton Speedy
,,,,,,,,,,,"Fendi coat
Fendi coat","Hermes , Chanel handbags"
,,,,,,,,,,,"Balmain Blazer
Dior cape and Chanel pump",Hermes SO Birkin and Manolo mules
,,,,,,,,,,,Burberry jacket,YSL camera bag
,,,,,,,,,,,Dolce and Gabana Dress,Bottega Veneta Bag
,,,,,,,,,,,Prada sweater,Birkin bag
,,,,,,,,,,,"Balmain
",YSL
,,,,,,,,,,,"

Burberry sweater
Burberry sweater","Gucci sneakers
Chanel handbag"
,,,,,,,,,,,"Balenciaga Sweater
Label","Hermès Kelly Bag
Hermès Constance 18"
